Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2024-07-01 01:12:00 UTC,63629.2933333333,63485.8532110092,,63482.9189569537,65905.9316666667,63471.1132653061,63443.4886075949
2024-07-01 01:13:00 UTC,63677.8085106383,63511.8,,63511.1265853658,65089.4733333333,63507.5983333333,63531.6434782609
2024-07-01 01:14:00 UTC,63657.7948717949,63481.8048780488,,63503.9409337349,65076.5166666667,63540.155,63485.9947368421
2024-07-01 01:15:00 UTC,63638.8163265306,63494.75,,63491.7994055201,65098.86,63497.3605555556,63499.9555555556
2024-07-01 01:16:00 UTC,63538.0243902439,63353.2857142857,,63376.7619247788,65199.015,63347.8011111111,63418.5315789474
2024-07-01 01:17:00 UTC,63490.8571428571,63337.4444444444,,63339.0568955224,65211.9375,63348.7025,63325.9142857143
2024-07-01 01:18:00 UTC,63518.9,63392.4285714286,,63383.3498068669,65191.055,63396.1,63340.2952380952
2024-07-01 01:19:00 UTC,63547.0,63402.625,,63397.919261745,65131.774,63389.488,63355.5125
2024-07-01 01:20:00 UTC,63561.9411764706,63436.0,,63419.7993127962,65091.3333333333,63424.7376,63408.7
2024-07-01 01:21:00 UTC,63522.4736842105,63363.8888888889,,63378.3595953757,65089.3433333333,63355.3044285714,63390.32
2024-07-01 01:22:00 UTC,63506.0,63351.1428571429,,63357.4438601824,65214.665,63369.695,63343.06
2024-07-01 01:23:00 UTC,63496.25,63351.1111111111,,63346.9690710383,65195.495,63366.575,63363.4571428571
2024-07-01 01:24:00 UTC,63566.88,63422.0,,63409.0847439353,65095.08,63437.0,63379.5375
2024-07-01 01:25:00 UTC,63518.6923076923,63349.6,,63364.0791489362,65326.1433333333,63371.1325,63374.775
2024-07-01 01:26:00 UTC,63523.8888888889,63369.2,,63370.1709795918,65320.8966666667,63377.105,63347.3055555556
2024-07-01 01:27:00 UTC,63526.4117647059,63390.8888888889,,63384.6250684932,65088.9833333333,63382.7961904762,63364.55
